orderid,date,customer,product,quantity,unitprice,totalprice,currency,company,sales_usd,sales_eur,year,month
A001,2024-01-03,NorthTech,Keyboard,15,29.99,449.85,USD,Alpha,449.85,413.862,2024,2024-01
A002,2024-01-05,BlueWave,Mouse,22,19.5,429.0,USD,Alpha,429.0,394.68,2024,2024-01
A003,2024-01-07,Digiplus,Monitor,5,149.99,749.95,USD,Alpha,749.95,689.9540000000001,2024,2024-01
A004,2024-01-10,MacroSoft,Webcam,12,39.99,479.88,USD,Alpha,479.88,441.4896,2024,2024-01
A005,2024-01-12,NorthTech,Headset,18,45.0,810.0,USD,Alpha,810.0,745.2,2024,2024-01
A006,2024-01-14,BlueWave,Mousepad,30,9.99,299.7,USD,Alpha,299.7,275.724,2024,2024-01
A007,2024-01-17,Digiplus,Laptop Stand,10,34.99,349.9,USD,Alpha,349.9,321.908,2024,2024-01
A008,2024-01-19,MacroSoft,Keyboard,20,29.99,599.8,USD,Alpha,599.8,551.816,2024,2024-01
A009,2024-01-22,NorthTech,Monitor,4,149.99,599.96,USD,Alpha,599.96,551.9632,2024,2024-01
A010,2024-01-24,BlueWave,Usb Hub,25,14.99,374.75,USD,Alpha,374.75,344.77000000000004,2024,2024-01
A011,2024-02-02,Digiplus,Laptop Stand,7,34.99,244.93,USD,Alpha,244.93,225.33560000000003,2024,2024-02
A012,2024-02-05,MacroSoft,Headset,10,45.0,450.0,USD,Alpha,450.0,414.0,2024,2024-02
A013,2024-02-07,NorthTech,Mouse,19,19.5,370.5,USD,Alpha,370.5,340.86,2024,2024-02
A014,2024-02-10,BlueWave,Webcam,16,39.99,639.84,USD,Alpha,639.84,588.6528000000001,2024,2024-02
A015,2024-02-13,Digiplus,Keyboard,12,29.99,359.88,USD,Alpha,359.88,331.0896,2024,2024-02
A016,2024-02-18,MacroSoft,Monitor,3,149.99,449.97,USD,Alpha,449.97,413.97240000000005,2024,2024-02
A017,2024-02-20,NorthTech,Usb Hub,15,14.99,224.85,USD,Alpha,224.85,206.862,2024,2024-02
A018,2024-02-23,BlueWave,Mousepad,40,9.99,399.6,USD,Alpha,399.6,367.63200000000006,2024,2024-02
A019,2024-02-26,Digiplus,Mouse,22,19.5,429.0,USD,Alpha,429.0,394.68,2024,2024-02
A020,2024-02-28,MacroSoft,Keyboard,9,29.99,269.91,USD,Alpha,269.91,248.31720000000004,2024,2024-02
A021,2024-03-03,NorthTech,Headset,14,45.0,630.0,USD,Alpha,630.0,579.6,2024,2024-03
A022,2024-03-05,BlueWave,Monitor,6,149.99,899.94,USD,Alpha,899.94,827.9448000000001,2024,2024-03
A023,2024-03-08,Digiplus,Mousepad,35,9.99,349.65,USD,Alpha,349.65,321.678,2024,2024-03
A024,2024-03-12,MacroSoft,Webcam,11,39.99,439.89,USD,Alpha,439.89,404.6988,2024,2024-03
A025,2024-03-15,NorthTech,Laptop Stand,8,34.99,279.92,USD,Alpha,279.92,257.5264,2024,2024-03
A026,2024-03-18,BlueWave,Keyboard,10,29.99,299.9,USD,Alpha,299.9,275.908,2024,2024-03
A027,2024-03-20,Digiplus,Mouse,18,19.5,351.0,USD,Alpha,351.0,322.92,2024,2024-03
A028,2024-03-23,MacroSoft,Headset,13,45.0,585.0,USD,Alpha,585.0,538.2,2024,2024-03
A029,2024-03-26,NorthTech,Usb Hub,12,14.99,179.88,USD,Alpha,179.88,165.4896,2024,2024-03
A030,2024-03-29,BlueWave,Monitor,5,149.99,749.95,USD,Alpha,749.95,689.9540000000001,2024,2024-03
B001,2024-01-04,EuroLogic,Headphones,10,42.0,420.0,EUR,Beta,457.8,420.0,2024,2024-01
B002,2024-01-06,TechHaus,Mouse,15,18.0,270.0,EUR,Beta,294.3,270.0,2024,2024-01
B003,2024-01-09,DataVision,Monitor,7,155.0,1085.0,EUR,Beta,1182.65,1085.0,2024,2024-01
B004,2024-01-11,SmartCore,Keyboard,20,28.0,560.0,EUR,Beta,610.4000000000001,560.0,2024,2024-01
B005,2024-01-15,EuroLogic,Usb Hub,18,13.5,243.0,EUR,Beta,264.87,243.0,2024,2024-01
B006,2024-01-18,TechHaus,Mousepad,25,8.99,224.75,EUR,Beta,244.97750000000002,224.75,2024,2024-01
B007,2024-01-21,DataVision,Webcam,14,41.0,574.0,EUR,Beta,625.6600000000001,574.0,2024,2024-01
B008,2024-01-23,SmartCore,Laptop Stand,9,32.0,288.0,EUR,Beta,313.92,288.0,2024,2024-01
B009,2024-01-26,EuroLogic,Monitor,3,155.0,465.0,EUR,Beta,506.85,465.0,2024,2024-01
B010,2024-01-28,TechHaus,Keyboard,17,28.0,476.0,EUR,Beta,518.84,476.0,2024,2024-01
B011,2024-02-01,DataVision,Mouse,22,18.0,396.0,EUR,Beta,431.64000000000004,396.0,2024,2024-02
B012,2024-02-03,SmartCore,Headphones,12,42.0,504.0,EUR,Beta,549.36,504.0,2024,2024-02
B013,2024-02-06,EuroLogic,Mousepad,30,8.99,269.7,EUR,Beta,293.973,269.7,2024,2024-02
B014,2024-02-08,TechHaus,Webcam,11,41.0,451.0,EUR,Beta,491.59000000000003,451.0,2024,2024-02
B015,2024-02-11,DataVision,Keyboard,14,28.0,392.0,EUR,Beta,427.28000000000003,392.0,2024,2024-02
B016,2024-02-14,SmartCore,Monitor,4,155.0,620.0,EUR,Beta,675.8000000000001,620.0,2024,2024-02
B017,2024-02-16,EuroLogic,Usb Hub,20,13.5,270.0,EUR,Beta,294.3,270.0,2024,2024-02
B018,2024-02-19,TechHaus,Headphones,15,42.0,630.0,EUR,Beta,686.7,630.0,2024,2024-02
B019,2024-02-21,DataVision,Mouse,19,18.0,342.0,EUR,Beta,372.78000000000003,342.0,2024,2024-02
B020,2024-02-24,SmartCore,Keyboard,13,28.0,364.0,EUR,Beta,396.76000000000005,364.0,2024,2024-02
B021,2024-02-27,EuroLogic,Mousepad,28,8.99,251.72,EUR,Beta,274.3748,251.72,2024,2024-02
B022,2024-03-01,TechHaus,Webcam,16,41.0,656.0,EUR,Beta,715.0400000000001,656.0,2024,2024-03
B023,2024-03-04,DataVision,Monitor,5,155.0,775.0,EUR,Beta,844.7500000000001,775.0,2024,2024-03
B024,2024-03-06,SmartCore,Laptop Stand,11,32.0,352.0,EUR,Beta,383.68,352.0,2024,2024-03
B025,2024-03-09,EuroLogic,Mouse,17,18.0,306.0,EUR,Beta,333.54,306.0,2024,2024-03
B026,2024-03-11,TechHaus,Headphones,14,42.0,588.0,EUR,Beta,640.9200000000001,588.0,2024,2024-03
B027,2024-03-14,DataVision,Usb Hub,10,13.5,135.0,EUR,Beta,147.15,135.0,2024,2024-03
B028,2024-03-17,SmartCore,Keyboard,19,28.0,532.0,EUR,Beta,579.88,532.0,2024,2024-03
B029,2024-03-19,EuroLogic,Monitor,6,155.0,930.0,EUR,Beta,1013.7,930.0,2024,2024-03
B030,2024-03-22,TechHaus,Mousepad,35,8.99,314.65,EUR,Beta,342.9685,314.65,2024,2024-03
